individual_id,time_point_id,reward
1,1,586.6360182378808
2,1,644.3795508760809
3,1,252.0208618635288
4,1,-214.75058925411474
5,1,-306.43722879378686
6,1,35.50546944371545
7,1,487.4642568608587
8,1,669.4494172661789
9,1,376.6152542666989
10,1,-82.9894990242094
11,1,-322.93532777758276
12,1,-111.47564850529373
13,1,386.04451505242093
14,1,657.4499642044256
15,1,493.7140934635497
16,1,34.81049175114075
17,1,-300.43212291273073
18,1,-205.16525241538923
19,1,234.97372644313754
20,1,646.9267044871622
21,1,585.780952868634
22,1,183.55717694093846
23,1,-242.72779618453563
24,1,-294.44776517556284
25,1,111.17580652504189
26,1,562.7896185330238
27,1,650.7415730587555
28,1,309.78000544537707
29,1,-153.90371299777507
30,1,-334.3788388321089
31,1,-39.0802486349582
32,1,467.14235997482234
33,1,667.1332087594709
34,1,441.6586273146794
35,1,-47.044644563359036
36,1,-325.1467634078202
37,1,-159.09735288111762
38,1,323.1665204244877
39,1,641.0709058022543
40,1,535.4271105285778
1,2,115.29963368381938
2,2,163.64639487905717
3,2,-225.53574744833006
4,2,-689.5085835406436
5,2,-787.809953156902
6,2,-452.2824460350871
7,2,21.46093704786324
8,2,187.78213297983118
9,2,-87.08010710945646
10,2,-558.33335670046
11,2,-801.744097305945
12,2,-569.0146292166222
13,2,-80.07589533786356
14,2,190.35619910295387
15,2,34.126418465912224
16,2,-443.916966887449
17,2,-779.8090591870538
18,2,-678.6250362651791
19,2,-236.85614485075627
20,2,158.2324183892467
21,2,118.19414460948013
22,2,-307.6957208389188
23,2,-726.8124415569362
24,2,-762.3566639757603
25,2,-348.71003827593086
26,2,93.99860004258781
27,2,192.48538794319757
28,2,-173.2621524691248
29,2,-636.2606783159407
30,2,-783.7491928197744
31,2,-524.8047167763559
32,2,-12.532702044137693
33,2,192.301822947905
34,2,-23.241541065097145
35,2,-517.0418188821059
36,2,-806.0117275472759
37,2,-618.3351612825144
38,2,-163.20564902659055
39,2,193.31392449852862
40,2,62.71452204967515
1,3,-151.33973803689244
2,3,-125.84825762024134
3,3,-527.7514797282716
4,3,-958.6023139540143
5,3,-1069.7805074395967
6,3,-736.1002951973136
7,3,-251.54167478906126
8,3,-93.0801065381272
9,3,-374.00991622787154
10,3,-860.9050890668332
11,3,-1072.966154598998
12,3,-837.949797994379
13,3,-360.7892221960777
14,3,-69.16028468858894
15,3,-252.63043580277338
16,3,-724.7519561965123
17,3,-1074.690779118739
18,3,-924.2238064096182
19,3,-491.22518761059496
20,3,-142.01396795160335
21,3,-159.12250899876804
22,3,-587.1245813309682
23,3,-1010.6467098768809
24,3,-1019.3896834860099
25,3,-659.0594669201067
26,3,-201.55506993800873
27,3,-73.26230657274617
28,3,-456.6507529908997
29,3,-921.1108830568805
30,3,-1060.8643068217448
31,3,-778.9721054003401
32,3,-300.9449247997736
33,3,-71.25770594446547
34,3,-288.6532504397108
35,3,-800.1439969471605
36,3,-1086.5122575389905
37,3,-898.3521951118983
38,3,-435.99404366482236
39,3,-72.46300855526597
40,3,-192.54591828012514
1,4,16.473358749845428
2,4,39.62195400559848
3,4,-323.0296896523681
4,4,-788.7665818261835
5,4,-870.8143806236478
6,4,-553.0642716157688
7,4,-72.31822916949557
8,4,88.00293227488905
9,4,-188.75688265974838
10,4,-666.7357915886463
11,4,-902.8538353374579
12,4,-680.3365414536854
13,4,-212.76138731665313
14,4,106.34303402586889
15,4,-85.133479138293
16,4,-557.6068354969651
17,4,-911.6568314826484
18,4,-751.5216125336914
19,4,-321.85312536019387
20,4,29.295088884316748
21,4,7.431090949461437
22,4,-404.1903284073748
23,4,-808.8288228910208
24,4,-855.2895058496553
25,4,-507.227276089037
26,4,-39.011809345382474
27,4,59.659891349786946
28,4,-274.6918986021728
29,4,-738.9727925699576
30,4,-909.8024219344609
31,4,-605.0873203987284
32,4,-140.7705304842381
33,4,121.89774993503181
34,4,-132.38002675675702
35,4,-625.3763124304573
36,4,-906.3835193129098
37,4,-728.4869918677156
38,4,-233.55779718670914
39,4,81.88936241786104
40,4,-6.657406380101194
1,5,461.6514132585829
2,5,496.3930845754435
3,5,126.14442638311708
4,5,-331.30649404005635
5,5,-431.1534217622873
6,5,-99.3708087528682
7,5,377.04510874877207
8,5,541.4367430761173
9,5,258.1727834433754
10,5,-211.14352956846204
11,5,-438.1020676292661
12,5,-244.08642102650882
13,5,237.860748256302
14,5,566.0313162216901
15,5,367.3205031524173
16,5,-101.44040706150179
17,5,-435.0779507177349
18,5,-323.5948472534522
19,5,118.46968505762885
20,5,490.3756004930735
21,5,459.7490373040655
22,5,46.123802474165686
23,5,-344.98026444687446
24,5,-398.92404659786695
25,5,-23.981764464114715
26,5,397.86334513400516
27,5,501.10106673077433
28,5,164.8389673528845
29,5,-258.1541110101346
30,5,-474.4012854479073
31,5,-137.5571600760502
32,5,309.18184482515795
33,5,548.9600100105152
34,5,312.5396155634877
35,5,-165.95379815752236
36,5,-443.0918582553009
37,5,-294.8326744706009
38,5,207.7381962434866
39,5,529.3696886378171
40,5,438.0260366990187
1,6,756.0745407189204
2,6,803.1096990436455
3,6,415.442572601231
4,6,-13.402919516110723
5,6,-121.64776461906288
6,6,207.6776659780419
7,6,687.699155262493
8,6,846.0666755354023
9,6,555.1720360172877
10,6,75.85227702739141
11,6,-144.68714439713094
12,6,94.86861404946475
13,6,550.7019465977462
14,6,869.9451904277856
15,6,679.7801890822784
16,6,203.7983664131687
17,6,-126.91737748788445
18,6,-33.12897169579122
19,6,448.1360169662107
20,6,799.017130238046
21,6,777.0055749916593
22,6,349.7258877649778
23,6,-64.61516984168011
24,6,-86.59811745211283
25,6,314.328621023008
26,6,732.6116604582464
27,6,839.7962678050998
28,6,478.3543901887088
29,6,65.36347592004705
30,6,-173.35958472687722
31,6,160.03603255281408
32,6,632.5227924825914
33,6,854.1224413452534
34,6,624.828151193496
35,6,135.96240197739598
36,6,-131.96694175788022
37,6,5.226361088006152
38,6,497.52513643175774
39,6,842.8747358726855
40,6,727.3120046752999
1,7,668.4966464062102
2,7,692.3753152500466
3,7,295.5086232571057
4,7,-148.86501274748787
5,7,-238.1224159636846
6,7,102.03541174768598
7,7,587.9850484032311
8,7,708.8046656673021
9,7,440.8209976037855
10,7,-56.719648521744006
11,7,-282.2341930754464
12,7,-18.874440660871215
13,7,449.0329752486553
14,7,736.1932851718688
15,7,560.8150154798559
16,7,70.47537663845381
17,7,-255.45626172418963
18,7,-118.50503587573445
19,7,335.64008672118564
20,7,682.673545812821
21,7,662.1403690363949
22,7,214.8487144760497
23,7,-203.4933300839909
24,7,-212.77140437125988
25,7,186.45661334070002
26,7,614.640481017983
27,7,732.1918529914731
28,7,392.7720240267112
29,7,-79.03139493784082
30,7,-272.2331122270946
31,7,5.858608018198854
32,7,520.7574186348788
33,7,734.7775349054018
34,7,497.49881657054937
35,7,3.491079085161763
36,7,-254.57586954085392
37,7,-88.93447743055678
38,7,389.04241866990304
39,7,725.9433829022348
40,7,611.7400944051185
1,8,220.19597269016185
2,8,248.49991945390548
3,8,-151.95350549814327
4,8,-589.0869585807627
5,8,-676.9343084655198
6,8,-349.14199380464663
7,8,119.56538758689571
8,8,277.00636399417925
9,8,9.886428093927858
10,8,-483.44116514125676
11,8,-726.0568245383794
12,8,-485.03953569369827
13,8,10.159596349209975
14,8,288.9978188515518
15,8,121.33408082703872
16,8,-371.12144750694745
17,8,-681.0727791692354
18,8,-580.7456966803403
19,8,-129.74236849456844
20,8,225.78254572628137
21,8,222.3596233016545
22,8,-229.91619582873648
23,8,-643.7770512391281
24,8,-662.478247263692
25,8,-296.7029791645767
26,8,146.91152263293665
27,8,278.72105049336176
28,8,-66.58361216088844
29,8,-541.9222375499087
30,8,-710.8570056827557
31,8,-431.21680528494085
32,8,70.8328369413466
33,8,291.7834353706655
34,8,44.93586166624297
35,8,-423.9077432553757
36,8,-706.9480839986466
37,8,-554.5922855432401
38,8,-58.79943469976582
39,8,284.90477647740937
40,8,156.51404984181212
1,9,-191.89941739321452
2,9,-131.9318812368863
3,9,-522.5661117282798
4,9,-951.6326739592881
5,9,-1077.1204946464043
6,9,-744.6709191907152
7,9,-268.29057867598743
8,9,-90.02037245169635
9,9,-388.8945178716516
10,9,-871.1171118235163
11,9,-1088.1096523574195
12,9,-871.8238982095831
13,9,-369.6364211335854
14,9,-94.82453389074702
15,9,-231.57683638872624
16,9,-722.8026239834635
17,9,-1076.6401227343329
18,9,-948.71334451999
19,9,-518.4480932495319
20,9,-138.11482880541874
21,9,-161.67870016363082
22,9,-599.9324003462332
23,9,-1001.8219212077672
24,9,-1028.9864015981261
25,9,-679.7899053303199
26,9,-233.1876370907578
27,9,-96.52553371572343
28,9,-444.4368574652221
29,9,-904.6293745165889
30,9,-1103.9792658538038
31,9,-786.8640249333016
32,9,-303.63318578678656
33,9,-88.2767937191051
34,9,-326.0707265362742
35,9,-780.7654750173613
36,9,-1094.0101433620462
37,9,-938.1743874341475
38,9,-452.702174043406
39,9,-99.13619549466448
