individual_id,time_point_id,reward
1,1,590.7188122984381
2,1,617.5787638799776
3,1,245.39796559132213
4,1,-199.005028932805
5,1,-314.5778796742378
6,1,29.694872845209165
7,1,496.21574981260056
8,1,663.3773858115251
9,1,375.39529286618495
10,1,-110.94048753218397
11,1,-327.36409475366605
12,1,-94.44008688002305
13,1,374.9051291409387
14,1,667.9489303597253
15,1,486.73573617866117
16,1,37.630128948319
17,1,-304.0248939897658
18,1,-200.86262351302196
19,1,245.29555822948612
20,1,648.3580293969949
21,1,585.0030290408603
22,1,171.72010945957433
23,1,-248.5783491381754
24,1,-268.1046077671061
25,1,101.86232390248374
26,1,546.1234518251487
27,1,650.4605645139952
28,1,322.95360941632805
29,1,-172.9723599289647
30,1,-317.833600402225
31,1,-31.869978739424635
32,1,442.77873708328036
33,1,682.7286024116385
34,1,441.8753317316881
35,1,-43.221396414601685
36,1,-322.43638987221647
37,1,-148.9348275644558
38,1,329.67215394973914
39,1,635.8415212014257
40,1,548.7131540566107
1,2,116.49238930783561
2,2,139.55940880433428
3,2,-224.21922358044546
4,2,-672.1366927134545
5,2,-781.5761869157568
6,2,-453.1360105020989
7,2,30.861181912392436
8,2,183.71543061894064
9,2,-108.31454525786936
10,2,-578.1018137746715
11,2,-797.3876719721621
12,2,-580.1050086433582
13,2,-103.63319489668754
14,2,201.50451948876693
15,2,26.18073675589872
16,2,-455.10771178072474
17,2,-784.963169357381
18,2,-677.3651335886572
19,2,-225.958129467075
20,2,160.33992263704835
21,2,104.47198199304687
22,2,-304.941240918174
23,2,-714.6179121274347
24,2,-758.5777668706643
25,2,-355.75295402803704
26,2,85.17248519253381
27,2,176.8622529867997
28,2,-153.07488553142537
29,2,-641.8712940104853
30,2,-794.2489909886394
31,2,-497.2785243843129
32,2,-18.510602448437055
33,2,204.27853727441425
34,2,-45.38085637312632
35,2,-506.9426167323266
36,2,-795.8189929215491
37,2,-614.5826877913323
38,2,-154.74557151525457
39,2,174.39320342130029
40,2,77.74981982527629
1,3,-165.58291688431274
2,3,-135.79962684108153
3,3,-516.1931906638265
4,3,-960.0199478987138
5,3,-1041.9982248560073
6,3,-715.4334597437728
7,3,-259.28051372043234
8,3,-81.84909940233338
9,3,-376.9166453033442
10,3,-844.8035898834137
11,3,-1086.935934976725
12,3,-846.0043640364478
13,3,-366.08993036940865
14,3,-76.40878194499705
15,3,-245.7955854587453
16,3,-720.7830500682488
17,3,-1053.3838185681436
18,3,-947.3285709652027
19,3,-492.3013062357994
20,3,-138.638143939059
21,3,-167.14046672670045
22,3,-583.2935106057939
