individual_id,time_point_id,reward
1,1,1128.4463094451232
2,1,1157.0251540698446
3,1,783.1811386670678
4,1,322.1731633746037
5,1,229.8968508116854
6,1,565.9921175522776
7,1,1036.2550813859477
8,1,1201.9958394786604
9,1,913.3443369310116
10,1,432.4492516737803
11,1,211.07536716119847
12,1,440.3224537443295
13,1,916.709836381165
14,1,1205.4405238819334
15,1,1038.3902781558002
16,1,562.1470340162109
17,1,228.35965166149276
18,1,331.4842888554268
19,1,785.8140134818085
20,1,1167.5447946914771
21,1,1124.818668394864
22,1,704.5283584907958
23,1,287.1470777131542
24,1,256.95948906114955
25,1,644.4414986011834
26,1,1086.4469928061258
27,1,1193.378062839624
28,1,842.3672583429558
29,1,379.37139511345777
30,1,218.71064183123462
31,1,504.39423221928223
32,1,986.624216071508
33,1,1204.929064533398
34,1,974.963796937865
35,1,492.47295148770127
36,1,212.27474397799372
37,1,386.3004516116593
38,1,863.7302544131541
39,1,1191.299642142743
40,1,1080.7553595844809
1,2,525.1241642736808
2,2,556.8015469842256
3,2,185.38237208158588
4,2,-276.7986419665908
5,2,-370.12715028591896
6,2,-31.931191123287743
7,2,444.7453261204002
8,2,602.8366538055983
9,2,316.17295593327157
10,2,-168.98752638703064
11,2,-385.3413380195207
12,2,-161.79978768929232
13,2,318.47069596791874
14,2,619.5683113756027
15,2,443.769095892526
16,2,-44.315997645370366
17,2,-374.3095409112728
18,2,-271.0388141421603
19,2,190.20937469222815
20,2,573.2293522119195
21,2,525.8002307339561
22,2,108.8900936774577
23,2,-308.49476773940006
24,2,-340.0645249873951
25,2,46.10660933029007
26,2,487.94763968474314
27,2,604.4124985295098
28,2,241.85673467286293
29,2,-215.2772391421979
30,2,-378.9649178457576
31,2,-96.3084635592559
32,2,387.1698997038053
33,2,601.0403766324965
34,2,383.0194998914525
35,2,-106.09793818988616
36,2,-389.5431894759004
37,2,-212.22557508000355
38,2,272.55544522169095
39,2,596.9614463977305
40,2,484.99402408469115
1,3,148.08025537622945
2,3,189.40304674376023
3,3,-190.82020633511917
4,3,-641.2384686250366
5,3,-741.1678738000087
